City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,26.99,74,40,7.2,CC,1696996519
1,san fernando de apure,7.8878,-67.4724,23.96,91,12,1.65,VE,1696996519
2,glace bay,46.1969,-59.957,11.99,96,75,3.09,CA,1696996520
3,edinburgh of the seven seas,-37.0676,-12.3116,13.4,94,100,7.87,SH,1696996520
4,port-aux-francais,-49.35,70.2167,1.68,66,100,14.96,TF,1696996520
5,longyearbyen,78.2186,15.6401,-6.09,79,0,6.17,SJ,1696996520
6,okhotsk,59.3833,143.3,2.29,91,70,3.57,RU,1696996520
7,tiksi,71.6872,128.8694,-8.76,98,98,1.42,RU,1696996520
8,boticas,41.6758,-7.716,16.78,43,54,0.57,PT,1696996521
9,ushuaia,-54.8,-68.3,3.81,87,40,9.77,AR,1696996521
10,keetmanshoop,-26.5833,18.1333,19.51,37,63,4.12,NA,1696996521
11,uturoa,-16.7333,-151.4333,26.38,80,27,5.89,PF,1696996521
12,papatowai,-46.5619,169.4708,12.67,51,77,9.23,NZ,1696996521
13,olavarria,-36.8927,-60.3225,8.86,66,100,8.68,AR,1696996521
14,jamestown,42.097,-79.2353,10.57,63,100,4.12,US,1696996521
15,waitangi,-43.9535,-176.5597,9.9,70,68,3.58,NZ,1696996521
16,invercargill,-46.4,168.35,11.68,64,93,5.81,NZ,1696996242
17,brisas de zicatela,15.8369,-97.0419,26.29,65,75,1.03,MX,1696996522
18,albany,42.6001,-73.9662,10.02,85,91,1.48,US,1696996477
19,avarua,-21.2078,-159.775,23.03,68,100,4.12,CK,1696996522
20,chemolgan,43.1897,76.5292,20.81,23,61,0.89,KZ,1696996522
21,narrabri,-30.3167,149.7833,29.73,17,0,1.62,AU,1696996522
22,grytviken,-54.2811,-36.5092,1.36,95,100,3.49,GS,1696996522
23,adamstown,-25.066,-130.1015,20.82,67,100,5.32,PN,1696996523
24,halifax,44.6453,-63.5724,12.0,90,1,2.06,CA,1696996112
25,isafjordur,66.0755,-23.124,1.91,91,100,8.35,IS,1696996523
26,kurumkan,54.3,110.3,10.07,73,13,0.89,RU,1696996523
27,thinadhoo,0.5333,72.9333,27.63,78,91,7.01,MV,1696996523
